shots, mean, variance
1.000000000000000000e+01,5.432289672580572354e-02,3.198163355440510752e-03
2.000000000000000000e+01,4.587846617597888393e-02,9.507546077452749475e-04
3.000000000000000000e+01,3.779716869677671176e-02,6.982424154129959542e-04
4.000000000000000000e+01,2.869119614153541054e-02,6.220747589879410937e-04
5.000000000000000000e+01,2.409676671907637346e-02,3.777501942471813757e-04
6.000000000000000000e+01,2.432740713934961399e-02,3.629919698363769055e-04
7.000000000000000000e+01,2.288411428579958246e-02,3.130893509669024693e-04
8.000000000000000000e+01,1.995372497706567744e-02,2.165638184260729453e-04
9.000000000000000000e+01,2.088750844877577950e-02,2.488817249090547715e-04
1.000000000000000000e+02,1.925922649580740290e-02,2.439144445791204755e-04
2.000000000000000000e+02,1.173347720846106869e-02,6.786684081674431779e-05
3.000000000000000000e+02,1.042128666900566519e-02,6.129366588498278453e-05
4.000000000000000000e+02,8.757533924568324316e-03,5.195044730709623187e-05
5.000000000000000000e+02,8.395869379281517900e-03,4.072230073584134804e-05
6.000000000000000000e+02,7.521204037745210687e-03,3.911608861531783859e-05
7.000000000000000000e+02,6.787331718394562334e-03,2.232009691678359548e-05
8.000000000000000000e+02,6.790319243879885426e-03,3.127168786426230067e-05
9.000000000000000000e+02,5.664850859953402679e-03,1.594098515024348306e-05
1.000000000000000000e+03,5.624631056770772707e-03,1.706684088779030588e-05
2.000000000000000000e+03,4.273040462919088997e-03,1.020203729104757082e-05
3.000000000000000000e+03,3.072489046504425173e-03,5.820574397158338406e-06
4.000000000000000000e+03,3.251795191366806548e-03,5.734223038146471492e-06
5.000000000000000000e+03,2.857506491535628714e-03,3.514692020031067743e-06
6.000000000000000000e+03,2.206957900570254497e-03,2.471895332148308700e-06
7.000000000000000000e+03,2.249859179143753971e-03,2.505808463693803098e-06
8.000000000000000000e+03,2.215152880714639418e-03,2.500623521113412122e-06
9.000000000000000000e+03,1.991374899396540932e-03,2.905807679832797919e-06
1.000000000000000000e+04,2.229475306085799795e-03,2.515316067282055857e-06
2.000000000000000000e+04,1.485354804088865298e-03,1.159544887826409136e-06
3.000000000000000000e+04,1.423875092897368628e-03,9.989049865254936941e-07
4.000000000000000000e+04,1.315197288436831214e-03,8.432244848120479614e-07
5.000000000000000000e+04,1.102972385040832358e-03,6.413661545321473408e-07
6.000000000000000000e+04,1.084373410065784301e-03,6.485826956200144957e-07
7.000000000000000000e+04,1.164138612274894305e-03,6.132166317713162380e-07
8.000000000000000000e+04,9.766258354637225719e-04,3.729050633617960480e-07
9.000000000000000000e+04,8.823448566426450243e-04,4.042531720615992556e-07
1.000000000000000000e+05,9.383722274606576567e-04,3.458912355545080697e-07
