shots, rmsd, std_dev
1.000000000000000000e+01,1.237862230260721730e-01,3.802450760872339713e-02
2.000000000000000000e+01,1.024562385096161321e-01,2.547208829972042593e-02
3.000000000000000000e+01,7.212700534806192054e-02,1.204106048922442759e-02
4.000000000000000000e+01,7.498920874056649866e-02,1.715383989070575974e-02
5.000000000000000000e+01,5.738373371816022500e-02,1.724443313930709709e-02
6.000000000000000000e+01,4.913237861337193396e-02,8.652519682077990451e-03
7.000000000000000000e+01,5.586715699092901360e-02,1.688103654916114221e-02
8.000000000000000000e+01,4.873925691251670966e-02,1.135009796232016969e-02
9.000000000000000000e+01,4.944952323988550252e-02,1.075034028680710296e-02
1.000000000000000000e+02,4.023294172790503609e-02,1.002811565971475222e-02
2.000000000000000000e+02,3.170660383443539565e-02,8.840950013699550372e-03
3.000000000000000000e+02,2.361164586825900691e-02,4.698596308418443758e-03
4.000000000000000000e+02,1.861141896145424718e-02,3.826528556712973077e-03
5.000000000000000000e+02,1.487954826925748202e-02,1.801821950025699276e-03
6.000000000000000000e+02,1.405468290756775075e-02,2.277033508313816308e-03
7.000000000000000000e+02,1.257857999162256650e-02,2.395155081857589657e-03
8.000000000000000000e+02,1.256709332141630817e-02,3.071487689457420324e-03
9.000000000000000000e+02,1.290798460941202513e-02,3.210407034273837432e-03
1.000000000000000000e+03,1.263700018563064867e-02,3.838826233802610129e-03
2.000000000000000000e+03,9.082388405886954522e-03,1.817098136825180807e-03
3.000000000000000000e+03,7.808679726046665291e-03,1.720488856101727972e-03
4.000000000000000000e+03,6.293778128273914800e-03,1.313689012700949930e-03
5.000000000000000000e+03,5.694859910977576392e-03,8.115993362130057660e-04
6.000000000000000000e+03,6.318569184404030682e-03,9.419671077387351855e-04
7.000000000000000000e+03,6.151896682230996102e-03,1.345918720158284119e-03
8.000000000000000000e+03,4.666819137502703670e-03,9.829750450808384492e-04
9.000000000000000000e+03,4.079307218799597262e-03,5.486379854657532024e-04
1.000000000000000000e+04,4.505221096890074314e-03,9.371647385558922122e-04
2.000000000000000000e+04,3.442682079991152451e-03,6.774286860426390316e-04
3.000000000000000000e+04,2.703979693723031295e-03,5.144569221944976815e-04
4.000000000000000000e+04,2.300006477742852062e-03,4.602921111278835374e-04
5.000000000000000000e+04,2.065353100922546169e-03,4.097015163009862303e-04
6.000000000000000000e+04,1.758512113074668821e-03,3.667285925673208170e-04
7.000000000000000000e+04,1.725442010196114777e-03,2.662250685870785958e-04
8.000000000000000000e+04,1.576069786124823045e-03,3.160626979141528854e-04
9.000000000000000000e+04,1.712254649601984910e-03,3.582481623783806825e-04
1.000000000000000000e+05,1.638951266005485687e-03,5.567943030284786075e-04
