shots, mean, variance
1.000000000000000000e+01,3.288688580081782220e-01,6.867377671909510872e-02
2.000000000000000000e+01,2.305306485990085141e-01,2.597080489873413930e-02
3.000000000000000000e+01,1.938807192545626557e-01,2.205675972546415273e-02
4.000000000000000000e+01,1.733243463555521335e-01,1.547942689833497337e-02
5.000000000000000000e+01,1.548660179301234452e-01,1.421186525095185192e-02
6.000000000000000000e+01,1.548234571751276323e-01,1.356262882689244359e-02
7.000000000000000000e+01,1.417937319938301632e-01,1.002460344272705292e-02
8.000000000000000000e+01,1.278849601109579015e-01,8.819317729001538084e-03
9.000000000000000000e+01,1.128952304860830896e-01,7.373379031084445999e-03
1.000000000000000000e+02,1.012273255452174198e-01,5.882334138213081084e-03
2.000000000000000000e+02,7.389559707018313051e-02,3.073738589952644800e-03
3.000000000000000000e+02,6.390666822362386923e-02,2.316233020318378497e-03
4.000000000000000000e+02,5.637585684037747097e-02,1.673000905486538839e-03
5.000000000000000000e+02,5.115604635845146658e-02,1.498779142489979881e-03
6.000000000000000000e+02,3.921945257196743362e-02,7.631990619676375055e-04
7.000000000000000000e+02,5.228838463639807338e-02,1.381547134847576144e-03
8.000000000000000000e+02,3.866092162415040584e-02,1.065881216327828557e-03
9.000000000000000000e+02,3.787278259157179916e-02,6.779853375707343673e-04
1.000000000000000000e+03,3.534513135066714995e-02,6.562154185401462576e-04
2.000000000000000000e+03,2.780519747615545559e-02,2.990300847703806445e-04
3.000000000000000000e+03,1.707218515529233815e-02,1.383577488482103329e-04
4.000000000000000000e+03,1.802274731367229169e-02,1.475266509701688117e-04
5.000000000000000000e+03,1.501828039642143751e-02,1.321410477105724253e-04
6.000000000000000000e+03,1.336870222250210842e-02,9.599764395581177946e-05
7.000000000000000000e+03,1.380965144609350680e-02,9.111880645973452725e-05
8.000000000000000000e+03,1.154299728068412453e-02,8.250620043686798929e-05
9.000000000000000000e+03,1.245664164872418989e-02,5.396720360230313520e-05
1.000000000000000000e+04,1.165415828124247502e-02,7.222922303724382776e-05
2.000000000000000000e+04,8.594030867208786451e-03,4.309291232748763844e-05
3.000000000000000000e+04,6.441730335342987432e-03,2.661820808583347783e-05
4.000000000000000000e+04,5.674735435661390839e-03,1.348960923941785209e-05
5.000000000000000000e+04,4.720160286887111444e-03,1.291008227607632269e-05
6.000000000000000000e+04,4.628994316292871225e-03,1.303325605987246359e-05
7.000000000000000000e+04,4.590869836807462759e-03,1.122883850602446791e-05
8.000000000000000000e+04,4.115198439608551417e-03,8.577003257596728421e-06
9.000000000000000000e+04,4.243148391768771475e-03,8.444165425112966900e-06
1.000000000000000000e+05,3.977384824833587323e-03,8.827330381257499867e-06
