shots, mean, variance
1.000000000000000000e+01,4.633688165845113033e-02,1.587397309133507144e-03
2.000000000000000000e+01,4.125752075552473891e-02,7.780338224536123993e-04
3.000000000000000000e+01,2.882748764963292271e-02,5.237142024185856845e-04
4.000000000000000000e+01,2.666146376648241903e-02,3.748113456139780426e-04
5.000000000000000000e+01,2.322914370802314082e-02,2.791327498178960563e-04
6.000000000000000000e+01,1.994451194397708210e-02,1.964047336273962033e-04
7.000000000000000000e+01,2.048979966603787367e-02,2.386607054806634662e-04
8.000000000000000000e+01,1.868385018968396483e-02,1.921715932385983960e-04
9.000000000000000000e+01,1.788156041443969904e-02,2.060517042327844020e-04
1.000000000000000000e+02,1.483001852327788667e-02,1.268070777279870995e-04
2.000000000000000000e+02,1.054041459176078242e-02,4.177996462091174688e-05
3.000000000000000000e+02,9.255589370331831003e-03,3.874501597328381476e-05
4.000000000000000000e+02,8.299435655211056390e-03,4.066742286694060996e-05
5.000000000000000000e+02,7.281617414190933064e-03,3.197815499394028745e-05
6.000000000000000000e+02,6.412178361016112119e-03,2.029562571512626585e-05
7.000000000000000000e+02,5.901861694267216199e-03,1.680520425072815993e-05
8.000000000000000000e+02,5.486070267481526520e-03,1.809008766076057920e-05
9.000000000000000000e+02,6.706543018411963500e-03,2.687419125937191679e-05
1.000000000000000000e+03,5.394866689427306808e-03,1.945989395238214897e-05
2.000000000000000000e+03,4.673433230945649164e-03,1.014847207500469927e-05
3.000000000000000000e+03,4.107354915469247844e-03,8.048664375512081984e-06
4.000000000000000000e+03,4.015110236534642253e-03,5.481050672490303881e-06
5.000000000000000000e+03,3.544954183114539057e-03,6.351807780488808061e-06
6.000000000000000000e+03,3.613268884800176044e-03,4.819987855096284887e-06
7.000000000000000000e+03,3.913821387617560064e-03,5.882359766509774661e-06
8.000000000000000000e+03,3.713214654303422912e-03,3.544134292606666137e-06
9.000000000000000000e+03,3.346478756058921585e-03,3.240692615883327197e-06
1.000000000000000000e+04,3.276530911809967094e-03,3.262494315662039174e-06
2.000000000000000000e+04,3.331569980571469445e-03,1.624219615736777793e-06
3.000000000000000000e+04,3.462089103281673803e-03,1.184130344670119297e-06
4.000000000000000000e+04,3.232159240202090496e-03,8.464602475183772485e-07
5.000000000000000000e+04,3.419930210604880168e-03,6.470602088404582629e-07
6.000000000000000000e+04,3.351835717714966075e-03,5.923653180401476804e-07
7.000000000000000000e+04,3.442930773416419312e-03,6.088159185511704109e-07
8.000000000000000000e+04,3.343981591861364816e-03,4.924743150302406092e-07
9.000000000000000000e+04,3.359673400564275846e-03,4.005615937097637305e-07
1.000000000000000000e+05,3.330627813736271141e-03,4.565160822137294308e-07
