shots, rmsd, std_dev
1.000000000000000000e+01,4.906130325886139815e-02,5.423329535268879564e-02
2.000000000000000000e+01,7.244547509970905574e-02,5.495363765609714846e-02
3.000000000000000000e+01,5.833602463347754147e-02,3.952913932864515756e-02
4.000000000000000000e+01,4.845269886672503440e-02,3.785588863614887389e-02
5.000000000000000000e+01,5.547504733970468060e-02,4.162954279438814409e-02
6.000000000000000000e+01,5.631856636838113161e-02,4.350273604975318786e-02
7.000000000000000000e+01,5.948978833238253994e-02,4.648350028028000458e-02
8.000000000000000000e+01,5.377259270709450201e-02,4.210307186399363938e-02
9.000000000000000000e+01,5.627095286567948551e-02,3.807992685546843920e-02
1.000000000000000000e+02,5.615650166850293112e-02,3.967460723534568107e-02
2.000000000000000000e+02,4.459087776778505874e-02,3.419611592751370388e-02
3.000000000000000000e+02,4.197901871692438780e-02,3.112307970527916634e-02
4.000000000000000000e+02,4.059392404296045115e-02,2.933559019988883285e-02
5.000000000000000000e+02,2.905195612991561330e-02,2.411931337285651636e-02
6.000000000000000000e+02,2.307741030214814637e-02,1.964263737099282772e-02
7.000000000000000000e+02,2.996296170986107246e-02,2.078442895383928596e-02
8.000000000000000000e+02,2.366656142879701788e-02,1.806256251747464722e-02
9.000000000000000000e+02,2.308573776211149398e-02,1.534910024238610345e-02
1.000000000000000000e+03,2.069287901764200327e-02,1.542328701615773220e-02
2.000000000000000000e+03,1.720993514930312454e-02,1.218558422328593419e-02
3.000000000000000000e+03,1.416431871338817358e-02,1.100251566252652413e-02
4.000000000000000000e+03,1.179205236148490529e-02,8.805099149635887273e-03
5.000000000000000000e+03,1.046991259476702518e-02,7.482414459018530382e-03
6.000000000000000000e+03,8.817152200015136373e-03,7.190466525224970679e-03
7.000000000000000000e+03,9.297224945172625696e-03,6.848618088488563592e-03
8.000000000000000000e+03,8.275230993563508983e-03,5.727034481501928377e-03
9.000000000000000000e+03,8.129763252014745797e-03,5.459243166788952349e-03
1.000000000000000000e+04,8.604488895096818260e-03,6.408447347060046775e-03
2.000000000000000000e+04,5.034574800570333110e-03,4.089914013929904155e-03
3.000000000000000000e+04,5.138208277605151551e-03,3.580084730946960815e-03
4.000000000000000000e+04,4.067658592249276568e-03,3.045845536287142882e-03
5.000000000000000000e+04,4.057997884086521692e-03,3.009106164909940845e-03
6.000000000000000000e+04,3.951626980457163124e-03,2.636556004082627868e-03
7.000000000000000000e+04,3.860608469553943219e-03,2.562933423571203163e-03
8.000000000000000000e+04,3.879602688480883205e-03,2.758964139898995201e-03
9.000000000000000000e+04,3.759496907457711163e-03,2.452014436420232608e-03
1.000000000000000000e+05,3.456254105247360490e-03,2.349412481193560200e-03
