shots, mean, variance
1.000000000000000000e+01,1.520623334316869357e+00,1.002713748694928242e+01
2.000000000000000000e+01,9.159099758191576734e-01,1.109066064686339281e+00
3.000000000000000000e+01,1.246064113734636658e+00,1.135183792291099536e+01
4.000000000000000000e+01,1.407970357062281908e+00,3.436207204295221374e+01
5.000000000000000000e+01,1.408225305439240405e+00,2.544245856515725279e+01
6.000000000000000000e+01,9.271891234296119055e-01,5.040492558622553076e+00
7.000000000000000000e+01,1.001621798291375098e+00,1.033289494596006541e+01
8.000000000000000000e+01,5.436527462582261272e-01,3.207525596958326064e-01
9.000000000000000000e+01,8.946837672865001201e-01,6.080876834576580237e+00
1.000000000000000000e+02,4.764995889401139051e-01,2.948786637964943558e-01
2.000000000000000000e+02,5.506473917359238079e-01,1.151290905213024907e+00
3.000000000000000000e+02,6.254457890209412785e-01,1.235679180013179446e+00
4.000000000000000000e+02,4.476016677387522624e-01,2.874657253707979532e-01
5.000000000000000000e+02,4.952223915028353685e-01,7.178977342956239793e-01
6.000000000000000000e+02,4.483891522328506962e-01,4.379032296053878004e-01
7.000000000000000000e+02,4.804265034766265763e-01,4.213077304912932197e-01
8.000000000000000000e+02,3.325911228088134219e-01,1.992640887547684481e-01
9.000000000000000000e+02,4.117064174626151041e-01,8.582382737520335425e-01
1.000000000000000000e+03,4.221574314450701748e-01,3.292939262664943967e-01
2.000000000000000000e+03,3.484702947878945412e-01,1.143890446129775806e-01
3.000000000000000000e+03,2.437436014630636194e-01,5.963126683444452958e-02
4.000000000000000000e+03,2.381993608356381131e-01,7.712311206141683750e-02
5.000000000000000000e+03,1.959167614360075860e-01,3.012557499289797089e-02
6.000000000000000000e+03,2.308147205145228142e-01,6.382708991274699262e-02
7.000000000000000000e+03,1.750887410183363802e-01,3.802141894726764754e-02
8.000000000000000000e+03,1.572489713111289988e-01,1.731519385870498862e-02
9.000000000000000000e+03,1.484764494546307045e-01,1.252541206854516573e-02
1.000000000000000000e+04,1.752327457889983620e-01,1.866144372137094887e-02
2.000000000000000000e+04,1.284069741473372050e-01,8.737299180039521940e-03
3.000000000000000000e+04,8.803293545738330450e-02,4.613313873716886129e-03
4.000000000000000000e+04,8.513056540350204260e-02,4.957966795317236830e-03
5.000000000000000000e+04,8.057767049047261099e-02,4.108248991831214489e-03
6.000000000000000000e+04,7.425348785763814796e-02,2.937491627393921077e-03
7.000000000000000000e+04,6.316548031276840447e-02,2.336327145227398705e-03
8.000000000000000000e+04,6.750332443682630079e-02,2.621811143648415578e-03
9.000000000000000000e+04,6.140933300778253501e-02,1.992513904976510840e-03
1.000000000000000000e+05,5.753622401027762984e-02,1.561860661088135824e-03
