shots,rmsd
1.000000000000000000e+01,1.971549176591060260e+01
2.000000000000000000e+01,2.043673134613631603e+01
3.000000000000000000e+01,2.070553943181532475e+01
4.000000000000000000e+01,2.082670629240392302e+01
5.000000000000000000e+01,2.090882574371076785e+01
6.000000000000000000e+01,2.101129768749865789e+01
7.000000000000000000e+01,2.108823181850068806e+01
8.000000000000000000e+01,2.115684587747439949e+01
9.000000000000000000e+01,2.117007407482601877e+01
1.000000000000000000e+02,2.118032957215680767e+01
