shots,rmsd
1.000000000000000000e+02,5.320298559284209611e-02
2.000000000000000000e+02,5.317709977023810097e-02
3.000000000000000000e+02,5.318514024271380619e-02
4.000000000000000000e+02,5.533215975021137795e-02
5.000000000000000000e+02,5.530094856720945556e-02
6.000000000000000000e+02,5.370449118618405432e-02
7.000000000000000000e+02,5.502788160736711565e-02
8.000000000000000000e+02,5.565179267868385071e-02
9.000000000000000000e+02,5.543560234555107435e-02
1.000000000000000000e+03,5.551135211527027241e-02
