rmsd,shots
1.000000000000000000e+01,2.194689105159335074e-01
2.000000000000000000e+01,1.280553347586615986e-01
3.000000000000000000e+01,9.859165857837957903e-02
4.000000000000000000e+01,8.508112911591751704e-02
5.000000000000000000e+01,7.112985306142741160e-02
6.000000000000000000e+01,5.804668208144298652e-02
7.000000000000000000e+01,5.766214278895054335e-02
8.000000000000000000e+01,5.420847279784266060e-02
9.000000000000000000e+01,6.033243372277009853e-02
1.000000000000000000e+02,5.649205485236941104e-02
2.000000000000000000e+02,5.751864337520841419e-02
3.000000000000000000e+02,5.665405354679025479e-02
4.000000000000000000e+02,5.418695780624809694e-02
5.000000000000000000e+02,5.499802689259226246e-02
6.000000000000000000e+02,5.556253041154213257e-02
7.000000000000000000e+02,5.588406351133584637e-02
8.000000000000000000e+02,5.487540874387447642e-02
9.000000000000000000e+02,5.439776123374513023e-02
1.000000000000000000e+03,5.442158754232061246e-02
2.000000000000000000e+03,5.534299132991944703e-02
3.000000000000000000e+03,5.568750286967933533e-02
4.000000000000000000e+03,5.520336132127359741e-02
5.000000000000000000e+03,5.559005146770323175e-02
