shots, rmsd, std_dev
1.000000000000000000e+02,3.772172017150881435e-02,0.000000000000000000e+00
2.000000000000000000e+02,7.442946603056768695e-02,0.000000000000000000e+00
3.000000000000000000e+02,4.463250863461614565e-02,0.000000000000000000e+00
4.000000000000000000e+02,1.918907019004799930e-01,0.000000000000000000e+00
5.000000000000000000e+02,3.356818019927499536e-02,0.000000000000000000e+00
6.000000000000000000e+02,2.037707277529780536e-01,0.000000000000000000e+00
7.000000000000000000e+02,3.876335498709029131e-02,0.000000000000000000e+00
8.000000000000000000e+02,1.181033576943901764e-01,0.000000000000000000e+00
9.000000000000000000e+02,5.210465631814421156e-02,0.000000000000000000e+00
1.000000000000000000e+03,3.157122816546154703e-02,0.000000000000000000e+00
