shots, rmsd, std_dev
1.000000000000000000e+01,5.169686501721331151e-01,9.876655626423945511e-02
2.000000000000000000e+01,3.560160354760549817e-01,8.196136756025973469e-02
3.000000000000000000e+01,3.098493495504911488e-01,5.908625071205367979e-02
4.000000000000000000e+01,2.079294269034350773e-01,4.966052207331186907e-02
5.000000000000000000e+01,2.145257820788401548e-01,2.992037986805260938e-02
6.000000000000000000e+01,1.993440476805877215e-01,4.527354122727040436e-02
7.000000000000000000e+01,2.072762530646783397e-01,4.451931921742890291e-02
8.000000000000000000e+01,1.732796749457426733e-01,3.170944171456682725e-02
9.000000000000000000e+01,1.787288110267818420e-01,3.354430946398816865e-02
1.000000000000000000e+02,1.703789929998916763e-01,2.869770512160323139e-02
