shots, rmsd
1.000000000000000000e+01,5.183624798264628852e-01
2.000000000000000000e+01,3.083919250807723444e-01
3.000000000000000000e+01,2.639308095349983119e-01
4.000000000000000000e+01,1.734723781933873721e-01
5.000000000000000000e+01,2.314405478076444478e-01
6.000000000000000000e+01,2.485847994263317429e-01
7.000000000000000000e+01,2.062919674498362721e-01
8.000000000000000000e+01,1.701375314321365018e-01
9.000000000000000000e+01,1.842606217098615995e-01
1.000000000000000000e+02,1.628961250536191951e-01
2.000000000000000000e+02,1.418085352668026489e-01
3.000000000000000000e+02,9.543636015136811035e-02
4.000000000000000000e+02,8.627415173366613510e-02
5.000000000000000000e+02,7.471431886223406371e-02
6.000000000000000000e+02,6.630951486823380425e-02
7.000000000000000000e+02,5.872487547184656459e-02
8.000000000000000000e+02,7.016428937273666566e-02
9.000000000000000000e+02,6.309544293770048828e-02
1.000000000000000000e+03,6.330048171586004357e-02
2.000000000000000000e+03,3.548839691700596960e-02
3.000000000000000000e+03,3.644287092517253801e-02
4.000000000000000000e+03,1.620430385491213043e-02
5.000000000000000000e+03,3.042617540666236325e-02
6.000000000000000000e+03,1.502742053147281334e-02
7.000000000000000000e+03,1.310445143194327415e-02
8.000000000000000000e+03,2.048737502190220786e-02
9.000000000000000000e+03,1.679747471706816500e-02
1.000000000000000000e+04,1.293312236623002376e-02
